signal,timestamp,value,unit,quality,can_id,channel
Vehicle_Speed,2026-07-10T10:09:33.681489+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:33.683722+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:33.741762+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:33.744019+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:33.802445+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:33.805539+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:33.861134+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:33.864908+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:33.921402+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:33.926530+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:33.983058+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:33.985886+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:34.044260+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:34.046484+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:34.104409+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:34.106504+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:34.165260+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:34.167928+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:34.225289+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:34.227547+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:34.284222+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:34.286489+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:34.344159+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:34.346319+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:34.402855+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:34.405911+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:34.462598+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:34.466390+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:34.524355+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:34.527071+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:34.586003+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:34.588191+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:34.645309+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:34.647820+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:34.702721+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:34.706806+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:34.762726+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:34.773973+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:34.823614+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:34.826178+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:34.882890+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:34.885234+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:34.942824+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:34.946988+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:35.003673+00:00,0.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:35.006177+00:00,0.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:35.064857+00:00,0.1,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:35.067599+00:00,0.1,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:35.123131+00:00,0.3,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:35.126372+00:00,0.3,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:35.184339+00:00,0.4,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:35.188990+00:00,0.4,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:35.246549+00:00,0.6,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:35.248883+00:00,0.6,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:35.308207+00:00,0.7,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:35.311106+00:00,0.7,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:35.367944+00:00,0.9,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:35.371928+00:00,0.9,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:35.427734+00:00,1.0,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:35.429969+00:00,1.0,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:35.488183+00:00,1.2,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:35.490570+00:00,1.2,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:35.547963+00:00,1.3,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:35.550320+00:00,1.3,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:35.606279+00:00,1.4,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:35.609155+00:00,1.4,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:35.666052+00:00,1.5,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:35.668348+00:00,1.5,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:35.725715+00:00,1.5,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:35.730637+00:00,1.5,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:35.785607+00:00,1.5,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:35.788617+00:00,1.5,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:35.845635+00:00,1.5,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:35.848007+00:00,1.5,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:35.905752+00:00,1.5,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:35.908185+00:00,1.5,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:35.965356+00:00,1.5,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:35.968386+00:00,1.5,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:36.025428+00:00,1.5,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:36.028453+00:00,1.5,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:36.085362+00:00,1.5,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:36.089364+00:00,1.5,km/h,good,0x51,CAN1
Vehicle_Speed,2026-07-10T10:09:36.145512+00:00,1.5,km/h,good,0x51,CAN2
Vehicle_Speed,2026-07-10T10:09:36.157369+00:00,1.5,km/h,good,0x51,CAN1
